_id,project_title,start_actual_isodate,donors_iso2,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
365,Climate and Carbon Funding in Renewable Energy Sector in Nepal,2010-04-01T00:00:00,Department for International Development|SNV Netherlands Development Organisation,Energy generation and supply,Completion,2010,2012,922172,845961
366,Support to Decentralising Renewable Energy (in Nepal),2011-01-01T00:00:00,SNV Netherlands Development Organisation,Energy generation and supply,Suspended,2010,2011,242743,80577
367,Sustainable Sanitation and Hygiene for All (SSH4A) - AusAID,2010-06-01T00:00:00,SNV Netherlands Development Organisation,Other social infrastructure and services,Completion,2010,2012,403150,384656
368,(Improving) Functionality of Water Supply Services in Nepal,2011-01-01T00:00:00,SNV Netherlands Development Organisation,Water supply and sanitation,Implementation,2010,2013,820746,204684
369,High Value Agriculture Project (HVAP) in Hills and Mountains Areas,2010-11-01T00:00:00,SNV Netherlands Development Organisation,Agriculture,Implementation,2010,2013,759513,365226
370,Raising Income of Small and Medium Farmers Project (RISMFP),,SNV Netherlands Development Organisation,Agriculture,Implementation,2011,2013,513489,133595
371,Social Inclusion Research Fund (SIRF),2007-01-01T00:00:00,SNV Netherlands Development Organisation,Other social infrastructure and services,Implementation,2007,2007,-,-
372,High Impact Tourism Training for Jobs and Income (HITT) Programme,2011-01-01T00:00:00,SNV Netherlands Development Organisation,Tourism,Implementation,2010,2013,681776,415707
373,Domesticated Forest Products Value Chain Development Programme (DFPVC),2011-01-01T00:00:00,SNV Netherlands Development Organisation,Forestry,Completion,2010,2011,292228,97003
374,Great Himalayan Trail Development Project (GHTDP),2010-06-01T00:00:00,SNV Netherlands Development Organisation,Tourism,Implementation,2010,2010,-,-
375,Local capacity Development Facility (LCDF),2012-01-01T00:00:00,SNV Netherlands Development Organisation,Energy generation and supply,Implementation,2010,2012,1093927,44355
376,SNV Regional and Corporate Programmes (SNV),,SNV Netherlands Development Organisation,"Government and civil society, general",Implementation,2010,2011,389981,129451
377,Pro Poor Reduction of Emissions from Deforestation and Destruction of Forests (REDD),2010-01-01T00:00:00,SNV Netherlands Development Organisation,Forestry,Completion,2010,2011,52646,23800
378,High Value Crops Programme (HVCP) - East,2010-01-01T00:00:00,SNV Netherlands Development Organisation,Agriculture,Completion,2010,2011,208591,69240
379,"Programme Component Result: PCR5, Intermediate Results: IR 1 - Local Governance",2011-02-01T00:00:00,United Nations Children's Fund,Other,Implementation,2011,2012,4423115,3281729
380,"PCR5, IR-3: Legislation, social protection, social budgeting, child poverty",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,307900,336616
381,"PCR5, IR - 4: Participation and Partnerships",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,662868,556258
382,"PCR5, IR5: Evidence and disaggregated information on the Situation of Children and Women generated and made available to policy makers through a KM system",2008-01-01T00:00:00,United Nations Children's Fund,"Other social infrastructure and services|Government and civil society, general",Implementation,2008,2012,256000,143744
383,"PCR 3, IR 1: Pregnant women and adolescents from MARP groups in intervention areas , who need ARV treatment are empowered to opt for appropriate services for themselves and their children.",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,752800,369462
384,"PCR 3, IR 2: Adolescent girls and boys specifically MARAs and EVAs have comprehensive knowledge and skills to protect themselves from HIV in intervention areas.",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,821139,216158
385,"PCR 3, IR 3: CABA specifically adolescent girls have access to programmes to strengthen their life skills and to protection mechanisms that provide them with protection and care services from families, communities and government in intervention areas.",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,792542,180713
386,"PCR 4, IR 1 - Legislation and Justice System",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,817054,597762
387,"PCR 2, IR 1: Education sector Policy lobby and advocacy",2008-01-01T00:00:00,United Nations Children's Fund,"Education, level unspecified|Government and civil society, general",Implementation,2008,2012,2208796,518525
388,"PCR 2, IR 2: Child Friendly Service delivery",2008-01-01T00:00:00,United Nations Children's Fund,"Education, level unspecified",Implementation,2008,2012,2701070,2651706
389,"PCR 2, IR 3: Peace & Emergency Education Stakeholder capacity in disaster risk reduction, preparedness, response & recovery enhanced to ensure education of children (girls & boys) & adolescent girls during humanitarian crises in line with the CCCs.",2008-01-01T00:00:00,United Nations Children's Fund,"Education, level unspecified|Conflict prevention and resolution, peace and security",Implementation,2008,2012,842862,697713
390,"PCR 2, IR 4: Community Mobilization and Capacity Building",2008-01-01T00:00:00,United Nations Children's Fund,"Education, level unspecified",Implementation,2008,2012,1390209,720866
391,"PCR 4, IR 2: Social Welfare Services",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,1511550,634305
392,"PCR 4, IR 3: Community-Based and Coordination/Referral",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,5717335,3771102
393,"PCR 4, IR 4: Child Protection - Armed Conflict",2008-01-01T00:00:00,United Nations Children's Fund,Other social infrastructure and services,Implementation,2008,2012,5079012,2800249
394,"PCR 1, IR 1: Maternal and Child Health and Nutrition âEquity focused Policy and Strategy Support",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,635368,308501
395,"PCR 1, IR 2: Maternal and Child Health and nutrition âservices for women, children and adolescent girls",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,5148313,4301071
396,"PCR 1, IR 3: Access & utilization of micronutrients (Vitamin A, iron tablets, MNP Powder, Iodized salt) with focus on children, adolescent girls & mothers in disadvantaged groups and urban areas increased.",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,1628324,2297666
397,"PCR 1, IR 5: Capacity of Govt/ Stakeholders in disaster risk reduction, preparedness, response & recovery enhanced to ensure H&N status of children, adolescents girls & women during humanitarian crisis",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,753000,891045
398,"PCR 1, IR 4: Maternal, Newborn, child health and adolescents survival- Communication for Development",2008-01-01T00:00:00,United Nations Children's Fund,Health,Implementation,2008,2012,789000,655856
399,"PCR 6, IR 1 - National WASH Programme formulated, ensuring the incorporation of gender, social inclusion and equity issues",2008-01-01T00:00:00,United Nations Children's Fund,Water supply and sanitation|Other,Implementation,2008,2012,386000,245201
400,"PCR 6, IR 2: HHs and institutions especially in MDAG VDCs in DACAW, diarrhoea prone & low sanitation coverage districts increasingly utilise improved sanitation, hygiene and water supply facilities.",2008-01-01T00:00:00,United Nations Children's Fund,Water supply and sanitation|Other,Implementation,2008,2012,2427074,2418328
401,"PCR 6, IR 3 - Cluster leadership and equitable access and use of emergency WASH services in line with the CCCs & Sphere standards.",2008-01-01T00:00:00,United Nations Children's Fund,Water supply and sanitation|Other,Implementation,2008,2012,311404,624577
402,PRRO 200136 Food Assistance to Refugees from Bhutan,2011-01-01T00:00:00,Denmark|World Food Programme,Health|Other social infrastructure and services,Implementation,2010,2013,24035541,15954480
403,PRRO 200152 Assistance to Food-insecure Populations in the Mid/Far-West Hill and Mountain Regions of Nepal,2011-01-01T00:00:00,World Food Programme,Other social infrastructure and services|Health|Other|Other social infrastructure and services,Implementation,2010,2012,170165729,49709471
404,Experimenting HIV/Youth Frendly services integration to health services in Nepal -Project Acceleration Fund (PAF),2008-04-30T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Completion,2008,2009,41759,37812
405,Unified Work-Plan and Budget (UBW),2010-12-31T00:00:00,United Nations Population Fund,Health,Completion,2010,2012,92888,20146
406,Emergency Life saving mobile reproductive health services in the remotest and conflict affected districts of Nepal (CERF),2010-09-20T00:00:00,United Nations Population Fund,Health,Completion,2010,2011,240899,217346
407,Emergency Reproductive Health services to conflict affected and marginalized population the Far Western Region of Nepal (ECHO V),2010-12-31T00:00:00,United Nations Population Fund,Health,Completion,2010,2011,511601,328679
408,"Delivering Essential Reproductive Health Care for Women, Men and Adolescents of Mid and Far Western Districts of Nepal through Mobile Reproductive Health Camps.",2008-08-01T00:00:00,United Nations Population Fund,Health,Completion,2008,2010,536608,476287
409,Multi-Sectoral Gender Based Violence Response at the District Level in Nepal (EVAW),2009-08-22T00:00:00,United Nations Population Fund,Health,Completion,2009,2013,428014,341598
410,Support to the Rehabilitation of Verified Minors and Late Recruits (UNIRP).,2010-06-01T00:00:00,United Nations Population Fund,Health,Completion,2010,2012,911403,321615
411,"COUNTRY PROGRAMME ACTION PLAN (CPAP), 2008-2010 (extended to 2012) for the Programme of Cooperation between The Government of Nepal and The United Nations Population Fund (UNFPA)",2008-01-01T00:00:00,United Nations Population Fund,Health|Other,Completion,2008,2012,25747758,21546618
412,"Delivering Essential Reproductive Health Care, Education and Counselling to Vulnerable Women and Adolescent Girls of Nepal affected by conflict (HSTF)",2010-02-14T00:00:00,United Nations Population Fund,Health,Completion,2010,2012,914331,855972
413,Ensuring recognition of sexual violence as a tool of conflict in the Nepal peace building process through documentation and provision of comprehensive services to women and girl victims/survivors (SGBV).,2010-06-04T00:00:00,United Nations Population Fund,Health,Completion,2010,2012,1411522,1264880
414,Maternal Health Trust Fund (MHTF),2010-10-05T00:00:00,United Nations Population Fund,Health,Completion,2010,2012,408527,150635
415,Providing Emergency Reproductive Health Assistance to conflict affected and vulnerable populations in Far and Mid Western Nepal (ECHO IV),2009-10-01T00:00:00,United Nations Population Fund,Health,Completion,2009,2010,429705,419649
416,SENEP1003708 - Nepal Tuberculosis,2010-01-01T00:00:00,World Health Organization,Health,Completion,2010,2012,85790,76349
417,"SENEP1003827 - To improve health services through better governance, financing, staffing and management, to improve knowledge, management and information technology and the use of essential medicinal products",2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,555776,587375
418,SENEP1003933 - Environmental Health and Food Safety,2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,497818,455346
419,SENEP1003934 - Nepal Human Resources for Health,2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,737929,704969
420,"SENEP1003982 - Improving health and nutrition during key stage of life-including pregnancy, childbirth, neonatal period, childhood, adolescence and older age-promoting equity",2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,674797,626690
421,SENEP1003990 - Programme for Immunization Preventable Diseases,2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,115916,111883
422,SENEP1004004 - To combat HIV/AIDS,2010-01-01T00:00:00,World Health Organization,Health,Implementation,2009,2012,105048,179241
423,"SENEP1004037 - Non-Communicable Diseases, Mental Health and Oral Health",2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,147999,229076
424,"SENEP1004085 - Health promotion, tobacco, injury, violence, deafness and blindness",2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,211132,196752
425,SENEP1004175 - Communicable Disease Surveillance and Response/Malaria/Essential Health Technology,2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,547496,511264
426,"SENEP1004135 - Reduce the health consequences of emergencies, disasters, crises and conflits, and minimize their social and economic impact",2010-01-01T00:00:00,World Health Organization,Health,Completion,2009,2012,87972,82298
427,Combating Citrus Decline Problem in Nepal,2010-12-01T00:00:00,Food and Agriculture Organization,Agriculture,Completion,2010,2012,309459,501603
428,Integrated Pest Management Phase II,2008-10-27T00:00:00,Norway,Agriculture,Implementation,2008,2013,3966846,4528122
429,Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts,2009-05-01T00:00:00,Food and Agriculture Organization,Agriculture,Completion,2009,2009,12226866,-
430,Technical Assistance Support for Leasehold Forest and Livestock Programme GCP/NEP/062,2009-08-10T00:00:00,Finland,Agriculture,Implementation,2009,2012,1124492,1647354
431,Piloting land registration and management in Achham district,2010-08-01T00:00:00,United Nations Peace Fund,Agriculture,Completion,2010,2012,42228,251270
432,Enhancing Capacities for Climate Change Adaptation and Disaster Risk Management for Sustainable Livelihoods in the Agriculture Sector,2011-08-31T00:00:00,United Nations Development Programme,Agriculture,Completion,2009,2012,107522,241033
433,Support to the National Integrated Pest Management Programme in Nepal,2008-10-27T00:00:00,Food and Agriculture Organization,Agriculture,Implementation,2008,2011,3549551,1749420
434,Engendering the Population and Housing Census 2011,2010-12-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2010,2010,217913,217913
435,Empowering Women Migrant Workers through Effective  Policy Response,2010-08-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2010,2013,12711537,9314915
436,Promoting Gender Responsive Security Sector (PROGRESS): Towards Implementation of UNSCRs 1325 and 1820 - (Nepal Army),2010-11-15T00:00:00,United Nations Development Fund for Women,"Conflict prevention and resolution, peace and security",Completion,2010,2012,100299,86881
437,Development of Standard Operation Procedural Guidelines for In-Camera Hearing and Conducting Training on Gender Based Violence for Government Officials and Civil Society Actors,2010-12-01T00:00:00,United Nations Development Fund for Women,"Unallocated/ unspecified|Conflict prevention and resolution, peace and security",Completion,2010,2012,157086,144744
438,"Capacity assessment, preparation of a capacity development plan, and capacity development activities on Gender Responsive Budgeting (GRB) and Aid Effectiveness",2010-11-01T00:00:00,United Nations Development Fund for Women,General budget support,Completion,2010,2012,50654,56764
439,"Conducting Assessment of GBV Prevalence, Trends, Legal Recourse Focusing on Conflict and Transitional Period",2010-09-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2010,2012,3168035,42856
440,Reinforcing Political Commitment for the Implementation of UNSCRs 1325 and 1820,2011-06-01T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2011,2012,64153,19145
441,Implementation UN Women supported components in local governance and community development programme(LGCDP),2009-12-01T00:00:00,Ministry of Federal Affairs and Local Development,Other,Implementation,2009,2013,425438,337694
442,"Monitoring the Implementation of National Action Plan on UNSCRs 1325 and 1820, CEDAW and National Action Plan on Anti Trafficking - (NWC)",2011-06-01T00:00:00,United Nations Development Fund for Women|National Women's Commission,Other social infrastructure and services,Completion,2011,2012,139799,102734
443,"Facilitating the Implementation of selected activities of the project âPartnership for Equality and Capacity Enhancement"" - (Shantimalika)",2011-06-01T00:00:00,United Nations Development Fund for Women,"Government and civil society, general",Completion,2011,2012,68302,64464
444,Sustaining the gains of foreign labour migration through the protection of migrant workersâ rights,2011-08-03T00:00:00,United Nations Development Fund for Women,Other social infrastructure and services,Completion,2011,2013,29412,24637
445,A57846 - Improving the quality of clinical management of HIV and AIDS cases by documenting and experience sharing among doctors providing ART services,2011-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2010,2011,22000,9056
446,âLinking high risk and especially vulnerable adolescents with PMTCTâ,2011-01-01T00:00:00,United Nations Children's Fund,Health,Pipeline/identification,2010,2011,49111,49111
447,Providing HIV and AIDS education for illiterate women through community learning centres (CLCs),2010-11-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Pipeline/identification,2010,2010,46144,46144
448,"Leadership and resource mobilization for a broadbased HIV response at country, regional and global levels are strengthened.",2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2009,2011,67272,30686
449,"Strategic information strengthened and available to support knowing your epidemic, guiding an evidence informed response and improving accountability.",2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2009,2011,134080,79662
450,"Human resources and systems of government and civil society enhanced to develop, implement and scale up evidence informed comprehensive HIV responses.",2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2009,2011,119020,87689
451,"Increased coverage and sustainability of programmes including to address the vulnerability of, and impact on women and girls, young people, children, populations affected by humanitarian crisis and mobile populations.",2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2009,2011,12419,10000
452,"To enhance national capacities for scaling- up HIV prevention, treatment, care and support.",2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2009,2011,28979,17410
453,Support critical activities emerging from unforseen oppertunity.,2011-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2010,2011,20426,14621
454,Progressive actions are taken toward HIV and AIDS related policy development in one or more key policy areas.,2010-01-01T00:00:00,Joint United Nations Programme on HIV/AIDS,Health,Implementation,2010,2011,28247,10771
455,51-11444001-KAT (Education) Improving literacy for sustainable development with particular focus on women and disadvantaged groups within the framework of LIFE,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2009,2011,41398,53672
456,51-12400015-KAT (Education) Support Nat effort for assessing secondary education policy in light of School Sector Reform Prog (SSRP),2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2009,2011,51748,71440
457,51-12409016-KAT (Education) Supporting national efforts to improve policies for achieving quality basic education for all,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2009,2011,41398,32319
458,51-13443003-KAT (Education) Supporting national efforts for integrating education for sustainable development in a sector wide framework,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2009,2011,33222,32606
459,"51-13444001-KAT (Education) Enhancing policy, planning and monitoring for achieving the goals of EFA in the context of School Sector Reform (SSR) and federalism",2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2009,2011,62097,76932
460,54-11200083-KAT (Culture) Supporting national efforts for effective implementation of the WH Convention in Nepal,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Completion,2009,2011,84883,103126
461,54-12200039-KAT (Culture) Support for strengthening national policies for safeguarding Nepal's intangible cultural heritage in the spirit of 2003 Convention,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Other social infrastructure and services,Completion,2009,2011,35188,43757
462,"55-11140028-KAT (Communication & Information) Developing free, independent and pluralistic media based on MDIs",2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Communications,Completion,2009,2011,31048,30092
463,55-11340016-KAT (Communication & Information) Foster editorial independence and quality programming in community media and public service broadcasting,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Communications,Completion,2010,2011,20426,36358
464,"55-21100027-KAT (Communication & Information) Developing free, independent and pluralistic media based on MDIs",2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Communications,Completion,2009,2011,68176,86187
465,55-22404028-KAT (Communication & Information) Developing strategies for using ICTs in knowledge acquisition and sharing,2010-01-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization",Communications,Completion,2009,2011,20699,18717
466,552 NEP 1002 (ExB - Education) JFIT Literacy Project - Phase 2,2010-01-22T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2010,2011,102131,151354
467,207 NEP 1000 (ExB - Education) HIV and AIDS education through community learning centres (CLCs) among illiterate women in the mid- and far-west regions of Nepal,2011-02-01T00:00:00,"United Nations Educational, Scientific and Cultural Organization","Education, level unspecified",Completion,2011,2011,45181,13983
468,"536 NEP 4001.1 (ExB - Culture) Strengthening Conservation and Management of Lumbini, the Birthplace of the Lord Buddha, World Heritage Property",2010-07-16T00:00:00,Japan,Other social infrastructure and services,Implementation,2010,2013,808664,669280
469,Enhancing and Improving access to energy services through development of public-private partnerships,,The United Nations Economic and Social Commission for Asia and the Pacific,Energy generation and supply,Pipeline/identification,2012,2012,157094,-
470,Capacity Development TA for Mainstreaming Climate Change Risk Management in Development,2012-04-01T00:00:00,Asian Development Bank,General environmental protection,Implementation,2011,2013,7163000,849628
471,Reducing Child Malnutrition through Social Protection (JFPR),,Asian Development Bank,Other,Pipeline/identification,2011,2012,2000000,810058
472,Assistance for Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,,Asian Development Bank,Other,Implementation,2011,2012,2700000,196172
473,Rani Jamara Kulariya Irrigation Project,,International Development Association,Agriculture,Implementation,2011,2013,41653012,8428576
474,National Rural and Renewable Energy Programme(NRREP),2012-07-18T00:00:00,Denmark|Norway,Energy generation and supply,Implementation,2012,2012,62828679,7623951
475,Clean Start Program,2012-08-28T00:00:00,United Nations Capital Development Fund,Energy generation and supply,Pipeline/identification,2012,2012,1276396,-
476,Isolated Water Supply System for Urban Poor Communities in Kathmandu Valley,2009-08-21T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Implementation,2009,2012,178013,104067
477,WASH Lifesaving Support Project- Preventing deaths of vulnerable population (children and women) through lifesaving WASH promotion and response (CERF Nepal Project),2011-02-01T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2011,2011,62915,62915
478,Lifesaving Initiatives for Flood Affected People in 10 Village Development Committees of Kanchanpur District (CERF Nepal Project),2011-02-02T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2011,2011,27120,25810
479,Pro Poor Urban Governance through Poverty Mapping and Gender Assessment in Selected Municipalities,2007-09-16T00:00:00,United Nations Human Settlements Programme,Other,Completion,2007,2010,166224,97593
480,"Capacity Building of Water and Sanitation Userâs Committee (WSUC) for Pro Poor Service Delivery in Selected Five Small Towns and Development of Management Information System for all Towns: Tulsipur, Birendranagar, Kohalpur, Attariya and Mahendranagar.",2007-09-16T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2007,2012,207558,198953
481,"Strengthening Water, Sanitation and Hygiene Treasuring Health (SWASHTHA)- II- in Tikapur and Guleriaya, Nepal.",2009-11-27T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Implementation,2009,2012,135062,116862
482,Improved Municipal Solid Waste Management through Institutional Capacity Building of SWMRMC of Nepal - II,2009-12-24T00:00:00,United Nations Human Settlements Programme,Other,Implementation,2009,2010,170769,50555
483,Dissemination of Nepal National Water Plan and Water for Asian Cities Program through Media in Nepal,2010-02-10T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation|Health,Completion,2010,2012,24511,24116
484,Open Defecation Free Campaign and Sanitation and Hygiene Behaviour Promotion in Bajura District,2012-04-07T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,130000,114875
485,Open Defecation Free Campaign and Sanitation and Hygiene Behaviour Promotion in Bardiya District,2011-12-07T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,130000,38291
486,Open Defecation Free Campaign and Sanitation and Hygiene Behaviour Promotion in Tikapur Municipality,2012-01-22T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2012,2012,29455,17673
487,Open Defecation Free Campaign and Sanitation and Hygiene Behaviour Promotion in Guleriya Municipality,2011-12-19T00:00:00,United Nations Human Settlements Programme,Health,Implementation,2011,2012,29455,17673
488,Integrated Shelter Assistance for 225 Landless Households Affected by Koshi Flood,2009-10-07T00:00:00,United Nations Human Settlements Programme,Other social infrastructure and services,Completion,2009,2010,197937,195326
489,Micro Hydro Power Debt Fund,2010-11-02T00:00:00,Deutsche Gesellschaft fÃ¼r Internationale Zusammenarbeit,Energy generation and supply,Implementation,2010,2010,709149,-
490,Forest restoration and sustainable land management in the Churia Range to combat land degradation,,Ministry of Land Reform and Management|Global Environment Facility|Ministry of Forest and Soil Conservation|Ministry of Agriculture Development,Forestry,Pipeline/identification,2012,2012,1570949,-
491,Enabling activiteis to review and update the national implementation plan for the Stockholm Convention o Persistent Organic Pollutants(POPs),2012-09-30T00:00:00,"Ministry of Science, Technology and Environment|Global Environment Facility|United Nations Organization for Industrial Development",General environmental protection,Pipeline/identification,2012,2012,-,-
492,"Strengthening Water, Air, Sanitation and Hygiene Treasuring Health (SWASHTHA) - I",2008-11-03T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Implementation,2008,2012,206709,130158
493,"Demonstration of Community Rain Water Recharge Techniques in Patan, Nepal",2009-11-25T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2009,2012,67862,61119
494,"Institutional Strengthening of Water Users Committees and Accelerating Water and Sanitation Coverage of Five Eastern Small Towns Trijuga, Itahari, Surunga, Buddhabare and Fikkal",2008-09-12T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Implementation,2008,2012,222890,129754
495,Capacity Building for Strategic Planning for Municipal Solid Waste Management including understanding of Climate Change and Clean Development Mechanism,2008-02-10T00:00:00,United Nations Human Settlements Programme,Other,Implementation,2008,2011,94610,65031
496,Integrating Water and Sanitation Services to Urban Poor Communities in two Municipalities of Nepal,2009-10-23T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2009,2012,165594,94949
497,Sustainable WASH in the Koshi Affected Resettled Community,2010-02-17T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Completion,2010,2011,51065,50319
498,Provision of Total Coverage of Safe Drinking Water and Sustainable Sanitation Facilities in Urban Poor Communities in Hetauda Municipality,2007-10-01T00:00:00,United Nations Human Settlements Programme,Water supply and sanitation,Implementation,2007,2011,106287,61766
499,Cities and Climate Change Initiatives,2011-05-20T00:00:00,United Nations Human Settlements Programme,General environmental protection,Implementation,2011,2012,26000,9377
500,Disaster Recovery Centre,2013-04-22T00:00:00,Korea International Cooperation Agency,Other social infrastructure and services,Implementation,2013,2013,4751403,-
501,Tatopani Frontier Inspection Station Project,,China,Business and other services,Pipeline/identification,2012,2012,13389907,12115329
502,"International Protection and Assistance to Refugees, Asylum Seekers and people without citizenship in Nepal",2010-07-16T00:00:00,United Nations High Commissioner for Refugees,"Conflict prevention and resolution, peace and security",Implementation,2010,2011,14986441,10045160
503,Skills Enhancement for Employment Project (SEEP),2009-02-16T00:00:00,International Fund for Agricultural Development,"Education, level unspecified|Other social infrastructure and services",Completion,2008,2011,908267,802633
504,Generation of productive employment for peace building,2012-01-02T00:00:00,Joint United Nations Programme on HIV/AIDS|International Labour Organization|Norway|United Nations Peace Fund,"Other social infrastructure and services|Conflict prevention and resolution, peace and security|Education, level unspecified|Other social infrastructure and services|Other social infrastructure and services",Completion,2008,2012,4404491,4064258
505,Peace through Justice (PtJ),2009-09-01T00:00:00,United Nations Peace Fund,"Conflict prevention and resolution, peace and security",Implementation,2008,2011,2069753,1423296
506,"Monitoring, reporting and response to conflict related child rights violations",2010-03-01T00:00:00,United Nation Office of High Commissioner for Human Rights,"Conflict prevention and resolution, peace and security",Implementation,2010,2010,-,-
507,Trafficking Risk Reduction in Nepal (TRRIN),2010-03-01T00:00:00,International Organization for Migration,Other social infrastructure and services,Implementation,2009,2010,206992,204263
508,Harmonization of Protocols for Tuberculosis Diagnosis and Treatment of the Bhutanese Refugees in Nepal (HAPT,2008-12-01T00:00:00,International Organization for Migration,Health,Implementation,2008,2011,411437,519752
509,Canadian Immigration Medical Examination and Pre-departure Medical Screening of Bhutanese Refugees in Nepal (CIMEP),2008-12-01T00:00:00,International Organization for Migration,Health,Implementation,2008,2012,104321,1270322
510,Fairness and Efficiency in Reparations to Conflict-Affected Persons (FERC),2010-04-01T00:00:00,United Nations Peace Fund,"Conflict prevention and resolution, peace and security",Implementation,2010,2010,804819,804819
511,USRP Project for Bhutanese Refugee,2007-08-01T00:00:00,International Organization for Migration,Other social infrastructure and services,Implementation,2007,2012,11204372,11204372
512,Exploring Livelihood Options for Trafficked Women in Nepal (LOPS),2009-11-01T00:00:00,International Organization for Migration,Other social infrastructure and services,Implementation,2009,2011,139116,128518
513,"NPLJ80: HIV Prevention, Care and Treatment for Female Injecting Drug Users, Female Prisoners and Women living with HIV and AIDS in Nepal",2008-05-05T00:00:00,United Nations Office of Drugs and Crime,Health,Implementation,2008,2012,5993705,4301653
514,"NPLJ96 âTechnical assistance for a coordinated response to prevent HIV among injecting drug users and in prison settings in Nepal : advocacy, capacity building and monitoring and evaluationâ",2008-11-29T00:00:00,United Nations Office of Drugs and Crime,Health,Implementation,2008,2011,1138425,1075661
515,Nepal Human Development:Social Protection Pilot (NHDSP),,International Development Association,Other,Implementation,2011,2013,500000,465898
